Année;"GPL ""première monte""  (ventes)";"Electrique  (ventes)";"GNV ""Gaz Naturel""  (ventes)";"Hybride rechargeable  (ventes)";"Hybride non rechargeable  (ventes)"
1994;11.00;32.00;;;
1995;254.00;132.00;;;
1996;413.00;489.00;;;
1997;"6 060.00";298.00;;;
1998;"22 589.00";494.00;;;
1999;"14 265.00";529.00;;;
2000;"6 201.00";232.00;;;
2001;"5 263.00";407.00;;;
2002;"5 029.00";310.00;;;
2003;"3 863.00";113.00;;;
2004;"2 875.00";460.00;;;
2005;"3 986.00";6.00;;;
2006;"4 371.00";14.00;;;
2007;"2 980.00";6.00;;;
2008;"2 250.00";4.00;;;
2009;"24 821.00";12.00;;;
2010;"75 568.00";184.00;;;
2011;"11 874.00";"2 630.00";;;
2012;"1 911.00";"5 663.00";;;
2013;"2 744.00";"8 779.00";107.00;843.00;"45 942.00"
2014;"2 251.00";"10 561.00";91.00;"1 927.00";"41 216.00"
2015;"1 508.00";"17 268.00";101.00;"5 587.00";"56 030.00"
2016;335.00;"21 826.00";104.00;"7 442.00";"51 043.00"
2017;988.00;"24 910.00";115.00;"11 868.00";"69 680.00"
2018;"2 173.00";"31 059.00";127.00;"14 528.00";"91 815.00"

"Source : AAA"
"Exporté le : 22/11/2019 à 13:11:01"
